id,name,score1,score2
327,Student_327,78,94
328,Student_328,100,83
329,Student_329,76,67
330,Student_330,75,84
331,Student_331,63,81
332,Student_332,60,70
333,Student_333,69,74
334,Student_334,52,61
335,Student_335,68,62
336,Student_336,56,82
337,Student_337,85,80
338,Student_338,89,51
339,Student_339,51,81
340,Student_340,52,87
341,Student_341,71,84
342,Student_342,88,77
343,Student_343,63,51
344,Student_344,81,96
345,Student_345,74,62
346,Student_346,62,97
347,Student_347,97,71
348,Student_348,73,100
349,Student_349,71,62
350,Student_350,100,71
351,Student_351,82,89
352,Student_352,96,67
353,Student_353,92,58
354,Student_354,51,68
355,Student_355,61,85
356,Student_356,64,51
357,Student_357,79,65
358,Student_358,77,55
359,Student_359,55,77
360,Student_360,64,86
361,Student_361,82,94
362,Student_362,68,58
363,Student_363,75,73
364,Student_364,74,67
365,Student_365,65,68
366,Student_366,71,64
367,Student_367,88,52
368,Student_368,96,97
369,Student_369,89,83
370,Student_370,51,95
371,Student_371,51,67
372,Student_372,57,75
373,Student_373,95,67
374,Student_374,75,98
375,Student_375,85,68
376,Student_376,61,86
377,Student_377,86,76
378,Student_378,86,66
379,Student_379,83,63
380,Student_380,70,76
381,Student_381,72,62
382,Student_382,100,50
383,Student_383,54,51
384,Student_384,59,87
385,Student_385,71,98
386,Student_386,79,57
387,Student_387,65,90
388,Student_388,70,73
389,Student_389,80,55
390,Student_390,76,68
391,Student_391,50,57
392,Student_392,67,68
393,Student_393,85,73
394,Student_394,96,50
395,Student_395,51,81
396,Student_396,99,70
397,Student_397,85,88
398,Student_398,85,53
399,Student_399,60,64
400,Student_400,62,91
401,Student_401,96,61
402,Student_402,99,63
403,Student_403,64,51
404,Student_404,75,65
405,Student_405,90,83
406,Student_406,71,92
407,Student_407,82,90
408,Student_408,82,72
409,Student_409,95,99
410,Student_410,58,85
411,Student_411,65,83
412,Student_412,100,53
413,Student_413,71,50
414,Student_414,71,80
415,Student_415,63,64
416,Student_416,82,69
417,Student_417,61,55
418,Student_418,97,89
419,Student_419,93,55
420,Student_420,100,95
421,Student_421,69,86
422,Student_422,62,92
423,Student_423,99,65
424,Student_424,64,87
425,Student_425,97,51
426,Student_426,83,85
427,Student_427,64,66
428,Student_428,70,92
429,Student_429,73,95
430,Student_430,87,98
431,Student_431,76,95
432,Student_432,71,63
433,Student_433,68,61
434,Student_434,51,73
435,Student_435,91,67
436,Student_436,76,100
437,Student_437,75,72
438,Student_438,74,87
439,Student_439,64,86
440,Student_440,78,63
441,Student_441,94,89
442,Student_442,74,85
443,Student_443,52,95
444,Student_444,86,99
445,Student_445,94,96
446,Student_446,62,57
447,Student_447,63,56
448,Student_448,94,56
449,Student_449,100,72
450,Student_450,85,99
451,Student_451,59,87
452,Student_452,77,95
453,Student_453,65,79
454,Student_454,57,74
455,Student_455,94,63
456,Student_456,53,68
457,Student_457,88,67
458,Student_458,63,92
459,Student_459,99,61
460,Student_460,90,86
461,Student_461,69,90
462,Student_462,63,67
463,Student_463,82,85
464,Student_464,54,52
465,Student_465,99,55
466,Student_466,99,87
467,Student_467,68,78
468,Student_468,89,91
469,Student_469,66,93
470,Student_470,60,65
471,Student_471,90,51
472,Student_472,100,54
473,Student_473,56,55
474,Student_474,88,59
475,Student_475,97,97
476,Student_476,80,53
477,Student_477,70,83
478,Student_478,76,61
479,Student_479,67,58
480,Student_480,81,66
481,Student_481,94,67
482,Student_482,74,53
483,Student_483,61,65
484,Student_484,66,63
485,Student_485,97,86
486,Student_486,91,52
487,Student_487,72,93
488,Student_488,55,98
489,Student_489,70,77
490,Student_490,57,74
491,Student_491,83,92
492,Student_492,78,72
493,Student_493,66,65
494,Student_494,58,97
495,Student_495,54,94
496,Student_496,94,89
497,Student_497,76,88
498,Student_498,52,67
499,Student_499,51,94
500,Student_500,93,97
501,Student_501,90,87
502,Student_502,80,74
503,Student_503,81,85
504,Student_504,56,72
505,Student_505,59,91
506,Student_506,87,56
507,Student_507,77,89
508,Student_508,50,100
509,Student_509,63,85
510,Student_510,80,54
511,Student_511,94,95
512,Student_512,56,83
513,Student_513,50,97
514,Student_514,74,69
515,Student_515,54,52
516,Student_516,87,55
517,Student_517,55,80
518,Student_518,93,86
519,Student_519,67,60
520,Student_520,94,95
521,Student_521,99,97
522,Student_522,76,60
523,Student_523,85,79
524,Student_524,69,68
525,Student_525,74,60
526,Student_526,57,76
527,Student_527,59,53
528,Student_528,74,50
529,Student_529,78,63
530,Student_530,58,78
531,Student_531,70,82
532,Student_532,94,81
533,Student_533,87,90
534,Student_534,73,99
535,Student_535,77,96
536,Student_536,96,99
537,Student_537,76,93
538,Student_538,90,59
539,Student_539,96,59
540,Student_540,90,82
541,Student_541,90,66
542,Student_542,88,91
543,Student_543,63,73
544,Student_544,81,62
545,Student_545,62,69
546,Student_546,72,69
547,Student_547,92,50
548,Student_548,97,73
549,Student_549,97,76
550,Student_550,95,75
551,Student_551,64,86
552,Student_552,66,82
553,Student_553,58,90
554,Student_554,74,94
555,Student_555,90,51
556,Student_556,68,66
557,Student_557,67,81
558,Student_558,61,64
559,Student_559,77,66
560,Student_560,89,66
561,Student_561,86,90
562,Student_562,54,57
563,Student_563,85,71
564,Student_564,78,68
565,Student_565,51,57
566,Student_566,59,89
567,Student_567,79,64
568,Student_568,91,66
569,Student_569,51,63
570,Student_570,76,66
571,Student_571,78,92
572,Student_572,87,55
573,Student_573,58,94
574,Student_574,66,64
575,Student_575,75,55
576,Student_576,74,93
577,Student_577,97,96
578,Student_578,74,100
579,Student_579,77,82
580,Student_580,70,93
581,Student_581,86,94
582,Student_582,92,91
583,Student_583,63,56
584,Student_584,68,91
585,Student_585,95,61
586,Student_586,84,78
587,Student_587,93,77
588,Student_588,64,74
589,Student_589,94,80
590,Student_590,55,87
591,Student_591,65,96
592,Student_592,87,60
593,Student_593,84,77
594,Student_594,94,83
595,Student_595,76,80
596,Student_596,89,67
597,Student_597,62,66
598,Student_598,72,90
599,Student_599,55,71
600,Student_600,60,66
601,Student_601,72,73
602,Student_602,52,71
603,Student_603,98,63
604,Student_604,74,67
605,Student_605,91,96
606,Student_606,75,71
607,Student_607,78,72
608,Student_608,91,58
609,Student_609,80,81
610,Student_610,58,95
611,Student_611,52,51
612,Student_612,95,56
613,Student_613,78,63
614,Student_614,76,56
615,Student_615,62,58
616,Student_616,97,99
617,Student_617,87,50
618,Student_618,85,82
619,Student_619,73,67
620,Student_620,56,88
621,Student_621,77,78
622,Student_622,58,63
623,Student_623,70,63
624,Student_624,71,82
625,Student_625,57,77
626,Student_626,95,50
627,Student_627,69,95
628,Student_628,91,50
629,Student_629,77,98
630,Student_630,91,59
631,Student_631,83,92
632,Student_632,89,67
633,Student_633,88,98
634,Student_634,93,89
635,Student_635,83,82
636,Student_636,71,95
637,Student_637,73,71
638,Student_638,89,73
639,Student_639,58,71
640,Student_640,99,52
641,Student_641,58,52
642,Student_642,89,66
643,Student_643,57,89
644,Student_644,79,54
645,Student_645,57,81
646,Student_646,54,59
647,Student_647,79,85
648,Student_648,84,52
649,Student_649,83,68
650,Student_650,99,82
651,Student_651,52,88
652,Student_652,65,97
653,Student_653,53,92
654,Student_654,92,93
655,Student_655,87,53
656,Student_656,61,90
657,Student_657,99,89
658,Student_658,80,68
659,Student_659,97,77
660,Student_660,81,51
661,Student_661,93,66
662,Student_662,54,81
663,Student_663,68,81
664,Student_664,68,54
665,Student_665,69,98
666,Student_666,63,50
667,Student_667,62,67
668,Student_668,90,98
669,Student_669,84,58
670,Student_670,89,85
671,Student_671,95,85
672,Student_672,89,51
673,Student_673,64,99
674,Student_674,98,94
675,Student_675,72,74
676,Student_676,79,52
677,Student_677,89,70
678,Student_678,98,71
679,Student_679,76,52
680,Student_680,93,93
681,Student_681,87,77
682,Student_682,100,93
683,Student_683,78,87
684,Student_684,67,73
685,Student_685,72,55
686,Student_686,65,82
687,Student_687,84,81
688,Student_688,66,57
689,Student_689,82,56
690,Student_690,90,74
691,Student_691,82,72
692,Student_692,95,93
693,Student_693,74,53
694,Student_694,89,62
695,Student_695,66,91
696,Student_696,96,60
697,Student_697,55,100
698,Student_698,59,63
699,Student_699,97,91
700,Student_700,97,84
701,Student_701,82,55
702,Student_702,91,65
703,Student_703,66,61
704,Student_704,51,74
705,Student_705,51,95
706,Student_706,66,80
707,Student_707,75,61
708,Student_708,50,96
709,Student_709,99,87
710,Student_710,51,99
711,Student_711,64,76
712,Student_712,85,97
713,Student_713,68,50
714,Student_714,84,81
715,Student_715,97,51
716,Student_716,68,61
717,Student_717,65,73
718,Student_718,70,52
719,Student_719,64,61
720,Student_720,61,99
721,Student_721,96,55
722,Student_722,60,53
723,Student_723,83,91
724,Student_724,54,82
725,Student_725,67,51
726,Student_726,66,52
727,Student_727,57,89
728,Student_728,52,66
729,Student_729,74,62
730,Student_730,53,52
731,Student_731,60,60
732,Student_732,84,95
733,Student_733,54,97
734,Student_734,92,63
735,Student_735,64,50
736,Student_736,88,91
737,Student_737,76,90
738,Student_738,53,93
739,Student_739,86,83
740,Student_740,88,87
741,Student_741,50,69
742,Student_742,92,60
743,Student_743,86,84
744,Student_744,75,67
745,Student_745,61,84
746,Student_746,80,100
747,Student_747,75,96
748,Student_748,98,63
749,Student_749,55,52
750,Student_750,90,92
751,Student_751,77,88
752,Student_752,73,100
753,Student_753,100,99
754,Student_754,66,82
755,Student_755,69,74
756,Student_756,61,89
757,Student_757,98,69
758,Student_758,77,73
759,Student_759,71,61
760,Student_760,71,56
761,Student_761,55,54
762,Student_762,79,92
763,Student_763,60,84
764,Student_764,90,74
765,Student_765,58,78
766,Student_766,75,71
767,Student_767,67,67
768,Student_768,62,59
769,Student_769,53,58
770,Student_770,86,89
771,Student_771,65,83
772,Student_772,60,100
773,Student_773,90,100
774,Student_774,77,86
775,Student_775,63,70
776,Student_776,82,72
777,Student_777,90,93
778,Student_778,76,52
779,Student_779,97,97
780,Student_780,86,75
781,Student_781,51,88
782,Student_782,78,94
783,Student_783,69,100
784,Student_784,80,83
785,Student_785,67,98
786,Student_786,98,68
787,Student_787,61,93
788,Student_788,85,59
789,Student_789,89,68
790,Student_790,100,59
791,Student_791,75,61
792,Student_792,92,59
793,Student_793,82,57
794,Student_794,75,59
795,Student_795,70,82
796,Student_796,55,62
797,Student_797,57,51
798,Student_798,87,94
799,Student_799,56,54
800,Student_800,98,74
801,Student_801,80,63
802,Student_802,63,80
803,Student_803,76,63
804,Student_804,89,81
805,Student_805,92,94
806,Student_806,57,67
807,Student_807,59,79
808,Student_808,54,94
809,Student_809,60,96
810,Student_810,93,97
811,Student_811,97,51
812,Student_812,55,59
813,Student_813,88,56
814,Student_814,100,90
815,Student_815,59,100
816,Student_816,69,85
817,Student_817,96,88
818,Student_818,97,65
819,Student_819,93,83
820,Student_820,51,58
821,Student_821,53,75
822,Student_822,95,54
823,Student_823,64,88
824,Student_824,64,60
825,Student_825,52,62
826,Student_826,98,53
827,Student_827,84,97
828,Student_828,55,93
829,Student_829,50,97
830,Student_830,92,88
831,Student_831,93,66
832,Student_832,87,57
833,Student_833,65,100
834,Student_834,82,67
835,Student_835,73,70
836,Student_836,53,99
837,Student_837,62,81
838,Student_838,83,65
839,Student_839,64,87
840,Student_840,93,84
841,Student_841,54,75
842,Student_842,70,70
843,Student_843,67,51
844,Student_844,60,54
845,Student_845,77,59
846,Student_846,54,81
847,Student_847,72,60
848,Student_848,97,99
849,Student_849,85,76
850,Student_850,53,76
851,Student_851,70,52
852,Student_852,50,78
853,Student_853,95,58
854,Student_854,55,76
855,Student_855,87,54
856,Student_856,93,91
857,Student_857,62,66
858,Student_858,81,77
859,Student_859,93,97
860,Student_860,55,70
861,Student_861,82,75
862,Student_862,77,92
863,Student_863,59,76
864,Student_864,54,82
865,Student_865,59,90
866,Student_866,76,89
867,Student_867,80,78
868,Student_868,82,65
869,Student_869,58,69
870,Student_870,91,67
871,Student_871,95,52
872,Student_872,77,92
873,Student_873,85,53
874,Student_874,54,69
875,Student_875,59,96
876,Student_876,63,59
877,Student_877,93,72
878,Student_878,54,77
879,Student_879,75,97
880,Student_880,84,90
881,Student_881,55,59
882,Student_882,97,70
883,Student_883,61,94
884,Student_884,65,66
885,Student_885,70,76
886,Student_886,76,59
887,Student_887,71,66
888,Student_888,93,69
889,Student_889,93,93
890,Student_890,59,57
891,Student_891,76,50
892,Student_892,75,71
893,Student_893,92,79
894,Student_894,68,66
895,Student_895,85,63
896,Student_896,68,65
897,Student_897,68,87
898,Student_898,80,61
899,Student_899,99,69
900,Student_900,100,70
901,Student_901,72,74
902,Student_902,89,66
903,Student_903,68,63
904,Student_904,63,63
905,Student_905,93,72
906,Student_906,92,69
907,Student_907,92,95
908,Student_908,55,55
909,Student_909,61,65
910,Student_910,100,75
911,Student_911,69,61
912,Student_912,78,100
913,Student_913,94,93
914,Student_914,81,84
915,Student_915,89,54
916,Student_916,88,88
917,Student_917,91,58
918,Student_918,59,100
919,Student_919,64,87
920,Student_920,65,69
921,Student_921,65,82
922,Student_922,91,63
923,Student_923,81,62
924,Student_924,59,70
925,Student_925,71,63
926,Student_926,54,78
927,Student_927,51,50
928,Student_928,78,72
929,Student_929,90,63
930,Student_930,68,65
931,Student_931,96,78
932,Student_932,55,50
933,Student_933,54,92
934,Student_934,100,85
935,Student_935,70,61
936,Student_936,93,63
937,Student_937,55,65
938,Student_938,82,86
939,Student_939,55,83
940,Student_940,78,89
941,Student_941,78,79
942,Student_942,53,96
943,Student_943,65,96
944,Student_944,61,70
945,Student_945,61,94
946,Student_946,76,83
947,Student_947,85,93
948,Student_948,91,71
949,Student_949,53,91
950,Student_950,93,73
951,Student_951,98,72
952,Student_952,76,80
953,Student_953,54,79
954,Student_954,74,80
955,Student_955,53,73
956,Student_956,75,55
957,Student_957,91,60
958,Student_958,95,83
959,Student_959,60,78
960,Student_960,98,55
961,Student_961,74,80
962,Student_962,56,74
963,Student_963,82,86
964,Student_964,100,93
965,Student_965,96,78
966,Student_966,81,70
967,Student_967,75,58
968,Student_968,71,98
969,Student_969,97,82
970,Student_970,93,80
971,Student_971,61,94
972,Student_972,56,92
973,Student_973,53,73
974,Student_974,53,55
975,Student_975,71,78
976,Student_976,84,86
977,Student_977,75,88
978,Student_978,85,79
979,Student_979,99,88
980,Student_980,98,86
981,Student_981,65,71
982,Student_982,55,89
983,Student_983,89,73
984,Student_984,66,92
985,Student_985,70,53
986,Student_986,82,50
987,Student_987,95,74
988,Student_988,74,90
989,Student_989,87,51
990,Student_990,63,82
991,Student_991,59,94
992,Student_992,69,62
993,Student_993,75,92
994,Student_994,74,92
995,Student_995,70,73
996,Student_996,81,90
997,Student_997,54,85
998,Student_998,53,64
999,Student_999,84,93
1000,Student_1000,100,79
1001,Student_1001,64,58
1002,Student_1002,50,94
1003,Student_1003,61,99
1004,Student_1004,76,54
1005,Student_1005,58,99
1006,Student_1006,100,84
1007,Student_1007,53,55
1008,Student_1008,74,97
1009,Student_1009,82,96
1010,Student_1010,73,73
1011,Student_1011,56,97
1012,Student_1012,70,69
1013,Student_1013,79,58
1014,Student_1014,60,78
1015,Student_1015,74,82
1016,Student_1016,81,65
1017,Student_1017,68,76
1018,Student_1018,73,64
1019,Student_1019,81,100
1020,Student_1020,92,68
1021,Student_1021,63,94
1022,Student_1022,88,59
1023,Student_1023,61,100
1024,Student_1024,68,85
1025,Student_1025,98,77
1026,Student_1026,100,58
1027,Student_1027,53,72
1028,Student_1028,66,78
1029,Student_1029,72,86
1030,Student_1030,81,50
1031,Student_1031,77,66
1032,Student_1032,61,71
1033,Student_1033,53,93
1034,Student_1034,90,57
1035,Student_1035,71,81
1036,Student_1036,98,62
1037,Student_1037,98,79
1038,Student_1038,95,80
1039,Student_1039,63,56
1040,Student_1040,53,53
1041,Student_1041,78,67
1042,Student_1042,60,59
1043,Student_1043,64,88
1044,Student_1044,81,76
1045,Student_1045,87,85
1046,Student_1046,56,55
1047,Student_1047,84,50
1048,Student_1048,62,80
1049,Student_1049,58,50
1050,Student_1050,64,94
1051,Student_1051,88,51
1052,Student_1052,95,100
1053,Student_1053,55,82
1054,Student_1054,66,100
1055,Student_1055,80,77
1056,Student_1056,87,50
1057,Student_1057,96,88
1058,Student_1058,63,50
1059,Student_1059,68,77
1060,Student_1060,50,65
1061,Student_1061,52,58
1062,Student_1062,71,80
1063,Student_1063,95,92
1064,Student_1064,69,94
1065,Student_1065,95,94
1066,Student_1066,72,72
1067,Student_1067,61,54
1068,Student_1068,72,64
1069,Student_1069,62,68
1070,Student_1070,60,86
1071,Student_1071,99,76
1072,Student_1072,100,55
1073,Student_1073,50,64
1074,Student_1074,69,90
1075,Student_1075,63,97
1076,Student_1076,50,64
1077,Student_1077,93,70
1078,Student_1078,83,65
1079,Student_1079,77,79
1080,Student_1080,72,60
1081,Student_1081,62,100
1082,Student_1082,81,66
1083,Student_1083,90,70
1084,Student_1084,99,95
1085,Student_1085,87,55
1086,Student_1086,55,81
1087,Student_1087,82,56
1088,Student_1088,94,63
1089,Student_1089,74,87
1090,Student_1090,89,80
1091,Student_1091,83,91
1092,Student_1092,91,56
1093,Student_1093,67,94
1094,Student_1094,56,59
1095,Student_1095,58,85
1096,Student_1096,99,67
1097,Student_1097,59,91
1098,Student_1098,71,69
1099,Student_1099,72,97
1100,Student_1100,60,70
1101,Student_1101,84,57
1102,Student_1102,92,93
1103,Student_1103,52,90
1104,Student_1104,69,80
1105,Student_1105,90,93
1106,Student_1106,76,58
1107,Student_1107,83,72
1108,Student_1108,83,74
1109,Student_1109,81,53
1110,Student_1110,93,97
1111,Student_1111,66,81
1112,Student_1112,88,75
1113,Student_1113,86,91
1114,Student_1114,65,99
1115,Student_1115,58,50
1116,Student_1116,51,67
1117,Student_1117,98,87
1118,Student_1118,58,59
1119,Student_1119,71,94
1120,Student_1120,64,55
1121,Student_1121,80,84
1122,Student_1122,74,56
1123,Student_1123,57,86
1124,Student_1124,82,78
1125,Student_1125,79,80
1126,Student_1126,58,68
1127,Student_1127,59,67
1128,Student_1128,93,88
1129,Student_1129,72,56
1130,Student_1130,63,99
1131,Student_1131,76,75
1132,Student_1132,59,59
1133,Student_1133,65,88
1134,Student_1134,86,99
1135,Student_1135,74,86
1136,Student_1136,100,62
1137,Student_1137,94,90
1138,Student_1138,59,58
1139,Student_1139,63,85
1140,Student_1140,87,87
1141,Student_1141,75,98
1142,Student_1142,80,96
1143,Student_1143,60,80
1144,Student_1144,76,77
1145,Student_1145,58,63
1146,Student_1146,85,71
1147,Student_1147,59,95
1148,Student_1148,50,51
1149,Student_1149,94,63
1150,Student_1150,65,61
1151,Student_1151,71,73
1152,Student_1152,86,73
1153,Student_1153,95,75
1154,Student_1154,100,50
1155,Student_1155,88,72
1156,Student_1156,59,94
1157,Student_1157,70,97
1158,Student_1158,73,64
1159,Student_1159,64,65
1160,Student_1160,76,87
1161,Student_1161,94,77
1162,Student_1162,62,61
1163,Student_1163,100,77
1164,Student_1164,99,85
1165,Student_1165,51,78
1166,Student_1166,53,65
1167,Student_1167,53,64
1168,Student_1168,56,81
1169,Student_1169,57,71
1170,Student_1170,54,64
1171,Student_1171,52,94
1172,Student_1172,73,90
1173,Student_1173,66,98
1174,Student_1174,91,74
1175,Student_1175,69,68
1176,Student_1176,89,82
1177,Student_1177,95,81
1178,Student_1178,90,82
1179,Student_1179,59,59
1180,Student_1180,92,60
1181,Student_1181,68,59
1182,Student_1182,56,87
1183,Student_1183,62,96
1184,Student_1184,61,50
1185,Student_1185,88,75
1186,Student_1186,99,77
1187,Student_1187,98,67
1188,Student_1188,50,99
1189,Student_1189,97,61
1190,Student_1190,87,84
1191,Student_1191,90,61
1192,Student_1192,74,63
1193,Student_1193,99,60
1194,Student_1194,68,62
1195,Student_1195,91,81
1196,Student_1196,79,64
1197,Student_1197,69,99
1198,Student_1198,83,78
1199,Student_1199,89,97
1200,Student_1200,95,61
1201,Student_1201,82,75
1202,Student_1202,58,68
1203,Student_1203,95,94
1204,Student_1204,76,99
1205,Student_1205,81,98
1206,Student_1206,56,69
1207,Student_1207,66,90
1208,Student_1208,64,66
1209,Student_1209,54,100
1210,Student_1210,70,70
1211,Student_1211,61,81
1212,Student_1212,71,99
1213,Student_1213,96,76
1214,Student_1214,66,88
1215,Student_1215,76,78
1216,Student_1216,66,99
1217,Student_1217,60,52
1218,Student_1218,52,78
1219,Student_1219,58,76
1220,Student_1220,74,66
1221,Student_1221,67,80
1222,Student_1222,85,92
1223,Student_1223,62,75
1224,Student_1224,80,70
1225,Student_1225,54,73
1226,Student_1226,60,89
1227,Student_1227,52,67
1228,Student_1228,62,59
1229,Student_1229,80,71
